# baseline arm: written by UNCOMMITTED (working tree), treatment: ClimaCoupler.jl-mod, CloudMicrophysics.jl-mod, dev-package-set
# mod arm:      written by UNCOMMITTED (working tree), treatment: ClimaCoupler.jl-mod, CloudMicrophysics.jl-mod, dev-package-set
# baseline ClimaAtmos.jl: 31d34486b
# baseline ClimaAtmos.jl-mod: 31d34486b
# baseline ClimaCore.jl: 803457513
# baseline ClimaCore.jl-mod: 803457513
# baseline ClimaCoupler.jl: bbe3fccbe
# baseline ClimaCoupler.jl-mod: 4d35e70b0
# baseline CloudMicrophysics.jl-mod: 68a217d26
# mod ClimaAtmos.jl: 31d34486b
# mod ClimaAtmos.jl-mod: 31d34486b
# mod ClimaCore.jl: 803457513
# mod ClimaCore.jl-mod: 803457513
# mod ClimaCoupler.jl: bbe3fccbe
# mod ClimaCoupler.jl-mod: 4d35e70b0
# mod CloudMicrophysics.jl-mod: 68a217d26
kernel,registers_baseline,registers_mod,spill_requests_baseline,spill_requests_mod,spill_overhead_pct_baseline,spill_overhead_pct_mod,stack_bytes_baseline,stack_bytes_mod,block_limit_registers_baseline,block_limit_registers_mod,achieved_occupancy_pct_baseline,achieved_occupancy_pct_mod,theoretical_occupancy_pct_baseline,theoretical_occupancy_pct_mod
set_microphysics_tendency_cache__FILE_ClimaAtmos_jl_src_cache_microphysics_cache_jl_L1013,255,255,37538807,0,32.92,0,2272,2048,1,1,12.39,12.40,12.50,12.50
set_microphysics_tendency_cache__FILE_ClimaAtmos_jl_src_cache_microphysics_cache_jl_L993,60,60,0,0,0,0,1888,1888,1,1,46.05,46.05,50,50
set_microphysics_tendency_cache__FILE_ClimaAtmos_jl_src_cache_microphysics_cache_jl_L994,60,60,0,0,0,0,1888,1888,1,1,46.31,46.30,50,50
set_microphysics_tendency_cache__FILE_ClimaAtmos_jl_src_cache_microphysics_cache_jl_L992,58,58,0,0,0,0,1888,1888,1,1,46.25,46.32,50,50
set_microphysics_tendency_cache__FILE_ClimaAtmos_jl_src_cache_microphysics_cache_jl_L1011,32,32,0,0,0,0,1888,1888,2,2,83.15,84.69,100,100
set_microphysics_tendency_cache__FILE_ClimaAtmos_jl_src_cache_microphysics_cache_jl_L1012,32,32,0,0,0,0,1888,1888,2,2,75.10,75.42,100,100
